NCBI GeneID,Gene symbol,num of cells in which gene responds to hypoxia,Average fold change in hypoxia,consistent response in hypoxia,HIF score,HIF site rank,hypoxia rank,Final rank,Previously validated HIF target
6632,SNRPD1,3,-2.1,Yes,40,99,243,51,No
29925,GMPPB,2,-2.1,Yes,17,362,475,242,No
7019,TFAM,2,-2.1,Yes,13,522,474,337,No
23269,MGA,1,-2.1,Yes,33,136,1110,496,No
51073,MRPL4,3,-2.2,Yes,15,432,219,148,No
25855,BRMS1,2,-2.2,Yes,25,223,456,159,No
516,ATP5G1,3,-2.2,Yes,13,558,229,207,No
9131,AIFM1,3,-2.2,Yes,10,717,241,319,No
1994,ELAVL1,3,-2.2,Yes,9,799,231,357,No
10063,COX17,3,-2.2,Yes,9,812,224,361,No
51661,FKBP7,1,-2.2,Yes,52,62,1037,395,No
4670,HNRPM,2,-2.2,Yes,11,647,467,400,No
31,ACACA,1,-2.2,Yes,41,92,1052,419,No
22877,MLXIP,1,-2.2,Yes,32,147,1032,444,No
151246,SGOL2,3,-2.2,No,6,1008,239,497,No
53373,TPCN1,3,-2.3,Yes,47,74,200,31,No
2870,GRK6,3,-2.3,Yes,28,190,202,65,No
7283,TUBG1,3,-2.3,Yes,23,253,217,89,No
10482,NXF1,3,-2.3,Yes,17,355,203,121,No
51382,ATP6V1D,2,-2.3,Yes,30,160,427,133,No
23479,ISCU,2,-2.3,Yes,18,346,425,196,No
7916,BAT2,2,-2.3,Yes,14,482,438,299,No
4898,NRD1,2,-2.3,Yes,14,502,435,312,No
51075,TXNDC14,3,-2.3,Yes,10,743,207,317,No
118980,SFXN2,2,-2.3,Yes,13,555,441,338,No
57620,STIM2,2,-2.3,Yes,10,710,428,414,No
25994,HIGD1A,2,-2.3,Yes,10,734,429,434,No
8396,PIP4K2B,1,-2.3,Yes,27,200,1011,471,No
56886,UGCGL1,2,-2.4,Yes,64,31,408,79,No
23193,GANAB,2,-2.4,Yes,54,48,417,86,No
22818,COPZ1,2,-2.4,Yes,36,126,393,103,No
9344,TAOK2,2,-2.4,Yes,37,116,414,108,No
5495,PPM1B,2,-2.4,Yes,31,152,399,116,No
6282,S100A11,2,-2.4,Yes,25,219,423,146,No
144363,LYRM5,2,-2.4,Yes,18,327,402,181,No
9553,MRPL33,2,-2.4,Yes,17,390,421,229,No
10169,SERF2,3,-2.4,Yes,11,637,185,233,No
58478,ENOPH1,2,-2.4,Yes,15,448,407,250,No
9031,BAZ1B,2,-2.4,Yes,13,518,405,300,No
8775,NAPA,3,-2.4,Yes,9,794,193,328,No
10525,HYOU1,1,-2.4,Yes,43,87,969,378,No
51000,SLC35B3,2,-2.4,Yes,11,668,389,379,No
408,ARRB1,1,-2.4,Yes,35,130,986,402,No
10605,PAIP1,2,-2.4,Yes,9,758,403,430,No
23580,CDC42EP4,1,-2.4,Yes,27,195,974,437,No
9533,POLR1C,1,-2.4,Yes,25,220,965,453,No
10611,PDLIM5,2,-2.4,Yes,9,789,424,475,No
3183,HNRNPC,2,-2.4,Yes,9,795,422,478,No
152815,THAP6,1,-2.4,Yes,22,267,977,495,No
6183,MRPS12,3,-2.5,Yes,26,209,172,60,No
4771,NF2,3,-2.5,Yes,18,344,174,101,No
4343,MOV10,2,-2.5,Yes,26,208,371,127,No
2268,FGR,2,-2.5,Yes,24,231,387,140,No
8891,EIF2B3,3,-2.5,Yes,13,536,179,173,No
9688,NUP93,2,-2.5,Yes,17,370,378,185,No
7112,TMPO,3,-2.5,Yes,10,745,175,297,No
3608,ILF2,1,-2.5,Yes,28,189,942,408,No
57082,CASC5,2,-2.5,Yes,9,813,380,459,No
55789,DEPDC1B,2,-2.6,Yes,19,309,347,150,No
9673,SLC25A44,3,-2.6,Yes,11,617,163,201,No
29929,ALG6,2,-2.6,Yes,15,461,339,218,No
6426,SFRS1,3,-2.6,Yes,11,664,160,235,No
