NCBI GeneID,Gene symbol,num of cells in which gene responds to hypoxia,Average fold change in hypoxia,consistent response in hypoxia,HIF score,HIF site rank,hypoxia rank,Final rank,Previously validated HIF target
27005,USP21,1,-3.3,Yes,14,499,641,417,No
10437,IFI30,1,-3.3,Yes,13,565,579,420,No
5062,PAK2,1,-3.3,Yes,13,563,632,460,No
9649,RALGPS1,1,-3.3,Yes,14,500,711,470,No
163,AP2B1,1,-3.3,Yes,12,588,631,479,No
9619,ABCG1,1,-3.3,Yes,11,618,604,483,No
6683,SPAST,1,-3.3,Yes,13,567,665,488,No
3840,KPNA4,1,-3.3,Yes,11,619,625,494,No
8503,PIK3R3,2,-3.4,Yes,12,587,215,221,No
10165,SLC25A13,1,-3.4,Yes,20,305,562,261,No
2130,EWSR1,1,-3.4,Yes,19,325,563,275,No
23272,C3orf63,2,-3.4,No,8,832,209,365,No
54505,DHX29,2,-3.4,Yes,7,948,216,435,No
57120,GOPC,3,-3.5,No,75,15,104,12,No
113263,GLCCI1,2,-3.5,Yes,15,452,205,153,No
7029,TFDP2,1,-3.5,Yes,30,167,554,175,No
5166,PDK4,1,-3.5,Yes,13,540,550,390,No
2122,EVI1,1,-3.6,Yes,26,214,537,188,No
146705,C17orf56,1,-3.6,Yes,24,229,538,195,No
23368,PPP1R13B,2,-3.7,Yes,7,975,184,429,No
27338,UBE2S,2,-3.8,Yes,16,408,173,129,No
283755,LOC283755,1,-3.8,Yes,17,365,519,272,No
84842,HPDL,1,-3.9,Yes,11,629,500,406,No
9787,DLG7,3,-4.0,Yes,9,782,86,262,No
79637,ARMC7,1,-4.0,Yes,14,509,497,345,No
66008,TRAK2,1,-4.1,Yes,21,276,486,192,No
3693,ITGB5,1,-4.1,Yes,11,636,484,403,No
80267,EDEM3,3,-4.2,Yes,50,67,79,15,No
22834,ZNF652,1,-4.3,Yes,14,506,472,325,No
122773,KLHDC1,1,-4.3,Yes,13,531,471,343,No
7020,TFAP2A,1,-4.3,Yes,12,586,466,376,No
8659,ALDH4A1,1,-4.5,Yes,52,59,454,99,No
51741,WWOX,1,-4.5,Yes,45,76,449,106,No
283149,BCL9L,1,-4.5,Yes,15,433,451,270,No
9117,SEC22C,1,-4.5,Yes,9,772,442,476,No
147912,SIX5,1,-4.6,Yes,12,581,434,348,No
11108,PRDM4,1,-4.7,Yes,17,379,431,228,No
55170,PRMT6,1,-4.7,Yes,9,819,433,500,No
56900,C1orf119,1,-4.8,Yes,53,49,410,85,No
3142,HLX,1,-4.8,Yes,15,443,398,244,No
162073,LOC162073,3,-5.3,No,26,207,57,28,No
23119,HIC2,1,-5.3,Yes,11,667,329,339,No
6622,SNCA,1,-5.3,Yes,10,704,344,372,No
403313,PPAPDC2,1,-5.8,Yes,7,932,283,477,No
23229,ARHGEF9,1,-5.9,Yes,21,273,274,114,No
80746,TSEN2,1,-5.9,Yes,14,512,269,203,No
55109,AGGF1,2,-6.1,No,6,1055,83,415,No
891,CCNB1,3,-6.3,Yes,17,386,43,76,No
9136,RRP9,2,-6.5,Yes,26,215,76,35,No
55553,SOX6,1,-6.5,Yes,32,145,238,62,No
83461,CDCA3,2,-6.7,Yes,15,444,73,100,No
9685,CLINT1,1,-6.8,Yes,27,201,213,72,No
1503,CTPS,1,-6.9,Yes,11,661,210,265,No
115509,ZNF689,1,-7.2,Yes,7,917,192,398,No
57459,GATAD2B,1,-7.6,Yes,18,347,171,102,No
10424,PGRMC2,1,-8.2,Yes,36,122,147,29,No
57649,PHF12,1,-8.2,Yes,13,557,146,169,No
5514,PPP1R10,2,-8.4,Yes,19,323,50,57,No
81894,SLC25A28,1,-9.4,Yes,28,178,124,36,No
79094,CHAC1,1,-9.7,Yes,10,695,119,230,No
219743,TYSND1,1,-9.8,Yes,5,1070,118,454,No
26156,RSL1D1,2,-11.5,No,10,719,34,190,No
375593,TRIM73,1,-12.5,Yes,10,709,82,212,No
162466,PHOSPHO1,1,-14.5,Yes,5,1067,67,411,No
23211,C19orf7,1,-14.7,Yes,19,308,65,56,No
84878,ZBTB45,1,-22.0,Yes,14,487,35,105,No
